id,envios,ventas
522c83ec-9d1d-4258-bd5c-85ccc5a84ae6,594,330
9c778ce4-eb10-4b36-bcee-f0a5f20de851,528,132
b1fa0d0c-2b4d-4a8b-8ea2-b160f4f8b4bd,286,176
09f4731d-21b7-4b5b-81e5-4f3b2702d55b,154,66
7195dcde-fb98-4131-84bc-535fae126c42,44,44
2b26f45d-4466-43a3-b48f-78e38f406198,968,352
72005f02-8509-4c7b-9079-7c2bddbde031,924,352
53748a81-ba2a-43cb-88ea-0353e21d609d,484,176
a044752f-691d-47b5-8a6a-ae072acfcbf5,550,154
328d08b7-93e9-49c7-8cfb-c96a335aa483,66,66
ab90ea94-9234-46ec-bd91-1b49d1d2c741,242,44
c0cd388f-d864-4c23-ae02-904c484eb8a2,902,352
7cbecf2d-95a8-4754-b357-7ec4b8da1ffa,1297,352
4b65d880-5853-416a-a895-3021e7a9f5ec,330,154
008b668e-ff24-4763-a849-c80feade3e2b,902,198
d90aaf65-e1dc-4960-8f08-5b20220b98d5,286,66
47c094f3-1181-424a-9ba6-98abc6d9183d,176,44
8382a170-9cae-4990-94ed-2b18016e85dd,660,352
477578c2-856b-4b8c-9345-30d363df60e2,726,330
99d46405-269c-4562-8472-94fe75238ab8,286,198
379a4084-9bc8-410f-bcb1-49609b872d84,374,220
928b7b3b-b084-4d40-b323-00e9f2fbbc33,66,66
2c294617-d9f6-4346-a453-6f8f9fe6d0d3,220,88
9f294c06-9ea5-4d37-9165-35292ddc45d2,880,396
7f2138a4-9dd2-4165-a762-6b2f3e75f6bd,836,352
ac9dfc89-e8d6-4d9f-944f-969536664c3e,352,220
408b73de-81b8-440b-993c-2cfe5bcd4407,352,242
7c55b22b-05dc-402b-99f8-06cb10643d92,110,66
1f8cbf1c-5cee-4b4e-b56c-934ec9c036d9,110,88
04d713e3-54ea-4865-9c8e-6ce921d2625e,506,286
825c30e7-6d6f-465a-bb19-90778a0700c1,506,330
89a49b68-6c1d-4b72-9ee6-4a582f610dde,308,198
68ff41a7-0d48-4213-ad0f-7d734b6800b2,374,176
28aa583f-3f40-4cea-bf4f-338143c9b868,154,66
285ceacd-1cf4-4d9d-a9aa-d057badd354d,110,44
b5f4bc86-8cc0-4fe6-8710-8a300cb2a0ea,682,374
f414714b-5a3e-40c2-9d95-6f531de94792,1056,374
0cf7b4ba-60c2-462d-bcef-c59bb9c5500b,638,176
1006e31b-3f79-4933-b990-940c25d100ef,484,176
652b2ebb-ba23-45dc-aa2e-168442290742,198,66
f0ffcc19-2980-4155-81e1-6b349b84c7fa,132,44
5df47b82-4faf-4cef-bddd-1be59c6eba77,924,242
c2053077-ac42-4428-843c-cbe9f6c86e2f,1100,264
4c06b0c4-8fc6-4e93-8542-bc92ff89c7f9,836,176
01940b72-3480-422d-803e-e42ad754882a,770,176
d27610a0-dbbb-48d9-b542-18cde8cd419c,242,66
a67a43f4-6056-442f-a4c3-15d34c1b3b10,308,66
a3864cff-9668-4948-84c5-090c6a02f6ea,1188,308
77e87261-d42d-4a71-a9d0-cdc1883f3ff9,1012,352
8668c8c2-5893-4031-a96e-6099d9461c94,528,220
c5e5189c-295c-4aec-9f61-84f91cca0109,528,176
9a061fac-d049-4842-8694-b26e0b4d2136,88,44
7b112b6d-67ed-4b24-9c03-855c63085f14,330,22
54b5a333-31e2-402e-ab1a-0fd3b9766fdb,858,308
3be8166b-bc5f-4ffb-a1ca-6a9ddff41fef,1144,352
b1b12278-9743-44c2-ad66-8cecfad13f55,462,220
f3403ce4-56b3-4ba8-8e6c-fad3e20b79be,440,176
db01928a-4bb0-4c85-b9c4-c2d1eb074eb2,264,66
13c88e08-8ad2-4ab3-a3db-0c049b9de605,88,22
